plant_name,plant_code,unique_id,ba_id,nameplate
Buena Vista Energy LLC,56446,"BUENA VISTA ENERGY, LLC1WT38",CISO,38
Cabazon Wind Partners,56011,Cabazon Wind Project1WT41,CISO,41
Cameron Ridge LLC,10586,Cameron Ridge1WT47.1,CISO,47.1
Cameron Ridge LLC,10586,Cameron Ridge 21WT11.9,CISO,11.9
,,Carrizo_Wind (Generic)WT187,CISO,187
Coram Energy LLC (ECT),54298,CELLC 7.5 MW Tehachapi Project1WT7.5,CISO,7.5
,,Central_Valley_North_Los_Banos_Wind (Generic)WT173,CISO,173
Clines Corners Wind Farm LLC,64054,CLINES CORNERSWT129.94,PNM,129.94
Clines Corners Wind Farm LLC,64054,CLINES CORNERS BWT194.28,PNM,194.28
Clines Corners Wind Farm LLC,X64054,XCline Corners1WT342.22,PNM,342.22
Coachella Hills Wind,64323,Coachella 1WT50.4,CISO,50.4
Coachella Hills Wind,64323,Coachella 2WT10.8,CISO,10.8
Brookfield Tehachapi 1,57962,Coram Brodie Wind Project1WT102,CISO,102
Coram Energy LLC,54299,Coram Energy1WT3,CISO,3
,,CSF Columbia Gorge1WT50,CISO,50
Diablo Winds LLC,56271,DIABLO WINDS1WT18,CISO,18
,,Dyer Summit Wind Repower1WT46.1,CISO,46.1
East Winds Project,50820,Eastwind1WT3,CISO,3
East Winds Project,50820,Edom Hills Wind Farm1WT19.55,CISO,19.55
El Cabo Wind,X58098,XEl Cabo Wind1WT298,CISO,298
,,El Cabo Wind PseudoWT269,CISO,269
,,Energia Sierra Juarez Wind 2WT105,CISO,105
,,ESJ Wind Energy1WT155.1,CISO,155.1
GPS Cabazon Wind LLC,50552,FPL Energy C Wind1WT38.97,CISO,38.97
FPL Energy Montezuma Winds LLC,57201,FPL Energy Montezuma Wind1WT36.8,CISO,36.8
Summit Winds,64326,Frick Summit Wind RepowerWT10,CISO,10
Green Power I,55396,GARNET GREEN POWER PROJECT AGGREGATE1WT16.5,CISO,16.5
Garnet Wind Energy Center,57302,GARNET WIND ENERGY CENTER1WT6.5,CISO,6.5
San Gorgonio Windplant WPP1993,54454,Garnet Winds Aggregation1WT22.5,CISO,22.5
Golden Hills Wind,60049,Golden Hills A1WT42.96,CISO,42.96
Golden Hills Wind,60049,Golden Hills B1WT42.96,CISO,42.96
Golden Hills North Wind Energy Center,61222,Golden Hills C1WT46,CISO,46
"Grady Wind Energy Center, LLC",X60317,XGrady Wind1WT200,CISO,200
Hatchet Ridge Wind Project,56654,Hatchet Ridge Wind Farm1WT102,CISO,102
High Winds LLC,56075,High Winds Energy Center1WT162,CISO,162
,,Humboldt_Wind (Generic)WT34,CISO,34
,,Iberdrola Centroid Sytem Resource1WT100,CISO,100
Dinosaur Point,10005,International Turbine Research1WT18.4,CISO,18.4
,,International Turbine ResearchWT18.4,CISO,18.4
,,Invisable Generator Wind1WT25,CISO,25
Karen Avenue Wind Farm,10718,Karen Avenue Wind Farm1WT11.7,CISO,11.7
,,Kern_Greater_Carrizo_Wind (Generic)WT20,CISO,20
Kumeyaay Wind,56295,Kumeyaay Wind Farm1WT50,CISO,50
EDF Renewable Windfarm V Inc,54453,LaBrisa Wind Project1WT9,CISO,9
Manzana Wind LLC,57484,Manzana Wind1WT189,CISO,189
,,Milford 1 PseudoWT5,CISO,5
Mojave 16/17/18,50821,Mojave 891WT82.65,CISO,82.65
Mojave 3/4/5,52142,Mojave 901WT48.9,CISO,48.9
TPC Windfarms LLC,54647,Morwind1WT38.16,CISO,38.16
Mountain View IV,57459,Mountain View IV Wind1WT49,CISO,49
Mountain View I&2,55719,Mountain View Power Project I1WT44.4,CISO,44.4
Mountain View I&2,55719,Mountain View Power Project II1WT22.2,CISO,22.2
Mountain View III,56112,Mountain View Power Project III1WT22.44,CISO,22.44
,,Mulqueeney Ranch Wind 1WT20,CISO,20
Mustang Hills LLC,57833,Mustang Hills1WT150,CISO,150
,,NEWARK 1 QF1WT1.1,CISO,1.1
Montezuma Wind II,57701,NextEra Energy Montezuma Wind II1WT78.2,CISO,78.2
North Sky River Energy LLC,58154,North Sky River Wind Project1WT160,CISO,160
,,Northern_California_Ex_WindWT98.8,CISO,98.8
,,Northern_California_Ex_Wind (Generic)WT354,CISO,354
,,Northern_California_Ex_Wind (Generic)WT178,CISO,178
,,Northern_California_Ex_Wind (Generic)WT152,CISO,152
,,Northern_California_Ex_Wind (Generic)WT83,CISO,83
,,NW_Ext_Tx_Wind (Generic)WT530,CISO,530
Oak Creek Energy Systems I,50754,Oak Creek1WT27.87,CISO,27.87
Oasis Wind,56302,Oasis Power Plant1WT59,CISO,59
,,Oasis Power Plant EastwindWT57.14,CISO,57.14
